regulador	V2	regulado	especie	V5	FT
Sopen01g029490	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen02g022260	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen02g034520	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen02g038930	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen03g001540	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen03g024410	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen03g034080	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen03g035070	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen03g040830	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen03g041270	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen04g004310	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen05g005260	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen06g016930	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen06g017870	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen07g022850	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen07g033090	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen08g015980	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen08g026680	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen08g028510	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen08g030250	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen10g004890	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen10g004900	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen10g030870	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen11g017570	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen12g006250	regulates	Sopen06g020610	Solanum pennellii	motif	none
Sopen12g034010	regulates	Sopen06g020610	Solanum pennellii	motif	none
